win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std,run_id,scenario_id,y_multiclass,is_anomaly
1,5.0,10.0,78,15.6,74,4,0,4,0.3205128205128205,0.0,1,0.0,0,0.0,0.0,0.0,63.6025641025641,8.479749245793288,20260127-161052_baseline,baseline,0,0
2,10.0,15.0,70,14.0,68,2,0,4,0.3285714285714285,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260127-161052_baseline,baseline,0,0
3,15.0,20.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,1,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554,20260127-161052_baseline,baseline,0,0
4,20.0,25.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-161052_baseline,baseline,0,0
5,25.0,30.0,68,13.6,66,2,0,4,0.3382352941176471,0.0,1,0.0,0,0.0,0.0,0.0,63.98529411764706,8.499987278638965,20260127-161052_baseline,baseline,0,0
6,30.0,35.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,1,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587,20260127-161052_baseline,baseline,0,0
7,35.0,40.0,82,16.4,76,6,0,4,0.3048780487804878,0.0,1,0.0,0,0.0,0.0,0.0,63.21951219512195,8.442090236838531,20260127-161052_baseline,baseline,0,0
8,40.0,45.0,74,14.8,72,2,0,4,0.3378378378378378,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425,20260127-161052_baseline,baseline,0,0
9,45.0,50.0,70,14.0,68,2,0,4,0.3428571428571428,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260127-161052_baseline,baseline,0,0
10,50.0,55.0,70,14.0,68,2,0,4,0.3285714285714285,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260127-161052_baseline,baseline,0,0
