win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std,run_id,scenario_id,y_multiclass,is_anomaly
1,5.0,10.0,68,13.6,68,0,0,4,0.3676470588235294,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-022325_baseline,baseline,0,0
2,10.0,15.0,80,16.0,74,6,0,4,0.3,0.0,0,0.0,0,0.0,0.0,0.0,63.1875,8.43814812325548,20260128-022325_baseline,baseline,0,0
3,15.0,20.0,70,14.0,68,2,0,4,0.3428571428571428,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260128-022325_baseline,baseline,0,0
4,20.0,25.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155872,20260128-022325_baseline,baseline,0,0
5,25.0,30.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-022325_baseline,baseline,0,0
6,30.0,35.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155872,20260128-022325_baseline,baseline,0,0
7,35.0,40.0,80,16.0,74,6,0,4,0.3,0.0,0,0.0,0,0.0,0.0,0.0,63.1875,8.43814812325548,20260128-022325_baseline,baseline,0,0
8,40.0,45.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587,20260128-022325_baseline,baseline,0,0
9,45.0,50.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-022325_baseline,baseline,0,0
10,50.0,55.0,80,16.0,76,4,0,4,0.325,0.0,0,0.0,0,0.0,0.0,0.0,63.625,8.481413502477048,20260128-022325_baseline,baseline,0,0
1,5.0,10.0,74,14.8,72,2,0,4,0.3378378378378378,0.0,0,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425,20260128-024153_baseline,baseline,0,0
2,10.0,15.0,72,14.4,70,2,0,4,0.3472222222222222,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587,20260128-024153_baseline,baseline,0,0
3,15.0,20.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024153_baseline,baseline,0,0
4,20.0,25.0,72,14.4,70,2,0,4,0.3472222222222222,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587,20260128-024153_baseline,baseline,0,0
5,25.0,30.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554,20260128-024153_baseline,baseline,0,0
6,30.0,35.0,70,14.0,68,2,0,4,0.3285714285714285,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260128-024153_baseline,baseline,0,0
7,35.0,40.0,66,13.2,66,0,0,4,0.3636363636363636,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024153_baseline,baseline,0,0
8,40.0,45.0,66,13.2,66,0,0,4,0.3484848484848485,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024153_baseline,baseline,0,0
9,45.0,50.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024153_baseline,baseline,0,0
10,50.0,55.0,80,16.0,74,6,0,4,0.3,0.0,0,0.0,0,0.0,0.0,0.0,63.1875,8.43814812325548,20260128-024153_baseline,baseline,0,0
1,5.0,10.0,66,13.2,66,0,0,4,0.3484848484848485,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024411_baseline,baseline,0,0
2,10.0,15.0,68,13.6,66,2,0,4,0.3235294117647059,0.0,0,0.0,0,0.0,0.0,0.0,63.98529411764706,8.499987278638965,20260128-024411_baseline,baseline,0,0
3,15.0,20.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024411_baseline,baseline,0,0
4,20.0,25.0,74,14.8,70,4,0,4,0.3243243243243243,0.0,0,0.0,0,0.0,0.0,0.0,63.554054054054056,8.475946717260259,20260128-024411_baseline,baseline,0,0
5,25.0,30.0,70,14.0,68,2,0,4,0.3285714285714285,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964,20260128-024411_baseline,baseline,0,0
6,30.0,35.0,82,16.4,76,6,0,4,0.2926829268292683,0.0,0,0.0,0,0.0,0.0,0.0,63.21951219512195,8.442090236838531,20260128-024411_baseline,baseline,0,0
7,35.0,40.0,66,13.2,66,0,0,4,0.3636363636363636,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024411_baseline,baseline,0,0
8,40.0,45.0,74,14.8,72,2,0,4,0.3378378378378378,0.0,0,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425,20260128-024411_baseline,baseline,0,0
9,45.0,50.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024411_baseline,baseline,0,0
10,50.0,55.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260128-024411_baseline,baseline,0,0
1,5.0,10.0,714,142.8,714,0,0,6,0.4509803921568627,0.0,0,0.0,0,0.0,0.0,0.0,64.1218487394958,8.513821285690883,20260128-024801_baseline_ro_scan,baseline_ro_scan,1,1
2,10.0,15.0,714,142.8,714,0,0,6,0.4523809523809524,0.0,0,0.0,0,0.0,0.0,0.0,64.09663865546219,8.514144758592652,20260128-024801_baseline_ro_scan,baseline_ro_scan,1,1
